Alexander Skarsgï¿__ç€_rd,0,Christoph Waltz,0,Casper Crump,14449
Oprah Winfrey,35874540,Matthew Broderick,0,Rip Torn,0
Gary Oldman,0,Angelina Jolie Pitt,0,Mike Bell,0
Noah Ringer,0,Seychelle Gabriel,0,Aasif Mandvi,155464
Tom Cruise,6183603,Philip Seymour Hoffman,414,Eddie Marsan,66288
Jake Weber,0,Channing Tatum,8692279,Matt Craven,0
Dan Fogler,51267,Elisabeth Harnois,32560,Tom Everett Scott,12028
Kate Winslet,5773,Hugh Jackman,7721947,David Suchet,39491
Cara Delevingne,7892506,Hugh Jackman,7721947,Nonso Anozie,9124
Zach Callison,38454,Ty Burrell,0,Karan Brar,833674
Orlando Bloom,150664,Brad Pitt,56075,Julian Glover,2129
Martin Short,1677,Jada Pinkett Smith,958662,Cedric the Entertainer,1070395
Colin Salmon,0,Toby Stephens,26972,Rick Yune,3779
Kate McKinnon,0,Ed Begley Jr.,37648,Zach Woods,2646
Steve Buscemi,0,Bruce Willis,156698,Will Patton,0
Rosario Dawson,609539,Will Smith,390828,Rip Torn,0
Anthony Hopkins,112668,Robin Wright,120564,Sebastian Rochï¿__æ¿ ,0
