ROI,movie_title,plot,plot_sentiment_score,plot_keywords,genre,release_date,duration,director_name,actor_1,actor_1_followers,actor_2,actor_2_followers,actor_3,actor_3_followers,IMDB_Score,num_IMDB_reviews,metacritic_score,budget,gross,language,country,rating,aspect_ratio
0.84,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,1,car falling off a cliff|hospital|revenge|star died before release|terrorist,Action Crime Thriller,3-Apr-15,137,James Wan,Jason Statham,15852,Paul Walker,2638587,Vin Diesel,42184,7.2,291745,67,190000000,190000000,English,USA,PG-13,2.35
0.07,World War Z,Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments and threatening to destroy humanity itself.,1,chaos|disease|infection|pandemic|zombie,Action Adventure Horror,21-Jun-13,116,Marc Forster,Peter Capaldi,6019,Brad Pitt,56075,Mireille Enos,11530,7,485503,63,190000000,190000000,English,USA,PG-13,2.35
0.17,X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,1,dystopia|super strength|supernatural power|time paradox|time travel,Action Adventure Sci-Fi,23-May-14,132,Bryan Singer,Jennifer Lawrence,13156,Peter Dinklage,0,Hugh Jackman,7721686,8,535388,74,200000000,200000000,English,USA,PG-13,2.35
0.2,Star Trek Into Darkness,After the crew of the Enterprise find an unstoppable force of terror from within their own organization Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.,1,admiral|captain|manhunt|mission|space,Action Adventure Sci-Fi,16-May-13,132,J.J. Abrams,Benedict Cumberbatch,1291,Bruce Greenwood,0,Noel Clarke,246911,7.8,412198,72,190000000,190000000,English,USA,PG-13,2.35
-0.67,Jack the Giant Slayer,The ancient war between humans and a race of giants is reignited when Jack a young farmhand fighting for a kingdom and the love of a princess opens a gateway between the two worlds.,1,bean|giant|king|no opening credits|princess,Adventure Fantasy,1-Mar-13,114,Bryan Singer,Eddie Marsan,66288,Ewen Bremner,0,Ralph Brown,14970,6.3,110097,51,195000000,195000000,English,USA,PG-13,2.35
0.38,The Great Gatsby,A writer and wall street trader Nick finds himself drawn to the past and lifestyle of his millionaire neighbor Jay Gatsby.,1,ingratitude|mansion|party|title appears in writing|tragedy,Drama Romance,10-May-13,143,Baz Luhrmann,Leonardo DiCaprio,17149366,Elizabeth Debicki,0,Steve Bisley,0,7.3,377141,55,105000000,105000000,English,Australia,PG-13,2.35
-0.55,Prince of Persia: The Sands of Time,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,2,alamut|dagger|king|persia|princess,Action Adventure Fantasy,28-May-10,116,Mike Newell,Jake Gyllenhaal,1841,Richard Coyle,0,Reece Ritchie,2606,6.6,228933,50,200000000,200000000,English,USA,PG-13,2.35
-0.46,Pacific Rim,As a war between humankind and monstrous sea creatures wages on a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.,1,giant monster|kaiju|pilot|portal|robot,Action Adventure Sci-Fi,12-Jul-13,131,Guillermo del Toro,Charlie Hunnam,0,Clifton Collins Jr.,35036,Larry Joe Campbell,3178,7,392925,64,190000000,190000000,English,USA,PG-13,1.85
0.81,Transformers: Dark of the Moon,The Autobots learn of a Cybertronian spacecraft hidden on the moon and race against the Decepticons to reach it and to learn its secrets.,1,autobot|decepticon|job interview|moon|spacecraft,Action Adventure Sci-Fi,29-Jun-11,154,Michael Bay,Glenn Morshower,1344,Lester Speight,0,Kevin Dunn,0,6.3,333764,42,195000000,195000000,English,USA,PG-13,2.35
0.71,Indiana Jones and the Kingdom of the Crystal Skull,Famed archaeologist/adventurer Dr. Henry Indiana Jones is called back into action when he becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.,1,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,Action Adventure Fantasy,22-May-08,122,Steven Spielberg,Harrison Ford,25306,Ray Winstone,2543,Jim Broadbent,0,6.2,345572,65,185000000,185000000,English,USA,PG-13,2.35
?,The Good Dinosaur,In a world where dinosaurs and humans live side-by-side an Apatosaurus named Arlo makes an unlikely human friend.,3,apatosaurus|asteroid|dinosaur|fear|river,Animation Adventure Comedy,25-Nov-15,93,Peter Sohn,A.J. Buckley,0,Jack McGraw,0,Peter Sohn,0,6.8,74648,66,?,?,English,USA,PG,2.35
0.28,Brave,Determined to make her own path in life Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish Merida must rely on her bravery and her archery skills to undo a beastly curse.,1,archery|coming of age|female warrior|princess|rebellious daughter,Animation Adventure Comedy,22-Jun-12,93,Mark Andrews,Kelly Macdonald,5580,John Ratzenberger,120265,Julie Walters,0,7.2,286347,69,185000000,185000000,English,USA,PG,2.35
